signal_id,cancel_at,cancel_source,rescue_bucket,stk_cd,stk_nm,strategy,cancel_type,entry_price,tp1_price,sl_price,rule_score,effective_rr,cntr_strength,bid_ratio,outcome,mfe_pct,mae_pct,sim_pnl_pct
996,2026-05-18 02:45:17.303724+00:00,RULE,S8_ZONE_RESCUE,005500,삼진제약,S8_GOLDEN_CROSS,S8_BUY_ZONE,20300.0,23800.0,18770.0,75.0,2.012,98.0,0.37,TP1_FIRST,27.586,4.433,17.241
997,2026-05-18 02:48:09.808153+00:00,RULE,RULE_RESCUE,008060,대덕,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,19850.0,22150.0,19060.0,43.0,2.297,138.3,0.354,NO_TICKS,,,
998,2026-05-18 03:02:56.134217+00:00,RULE,RULE_RESCUE,005930,삼성전자,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,284500.0,317000.0,273000.0,40.0,2.298,121.6,0.476,NO_TICKS,,,
1000,2026-05-18 03:20:30.980789+00:00,RULE,BID_GATE_RESCUE,000500,가온전선,S15_MOMENTUM_ALIGN,HARD_GATE,365500.0,470000.0,301500.0,63.0,1.525,113.3,0.707,TIMEOUT,8.208,-6.019,3.967
1002,2026-05-18 04:01:03.952800+00:00,RULE,BID_GATE_RESCUE,395160,KODEX AI반도체TOP2플러스,S15_MOMENTUM_ALIGN,HARD_GATE,39000.0,43350.0,36600.0,76.0,1.432,111.2,0.938,NO_TICKS,,,
1005,2026-05-18 04:20:08.585408+00:00,RULE,S8_ZONE_RESCUE,005950,이수화학,S8_GOLDEN_CROSS,S8_BUY_ZONE,10810.0,12340.0,9930.0,100.0,1.529,112.3,4.029,TP1_FIRST,29.510,-2.128,14.154
1010,2026-05-18 05:15:11.364107+00:00,RULE,S8_ZONE_RESCUE,005500,삼진제약,S8_GOLDEN_CROSS,S8_BUY_ZONE,20400.0,23800.0,18780.0,80.0,1.846,90.9,0.586,TP1_FIRST,26.961,3.922,16.667
1027,2026-05-19 01:01:30.550400+00:00,RULE,S8_ZONE_RESCUE,000400,롯데손해보험,S8_GOLDEN_CROSS,S8_BUY_ZONE,2305.0,2725.0,2095.0,97.0,1.782,126.6,0.805,NO_TICKS,,,
1031,2026-05-19 01:04:09.127883+00:00,RULE,RULE_RESCUE,003230,삼양식품,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,1396000.0,1557000.0,1340000.0,53.0,2.298,168.7,1.738,TIMEOUT,1.074,-1.146,-1.003
1034,2026-05-19 01:25:50.412287+00:00,RULE,S8_ZONE_RESCUE,000370,한화손해보험,S8_GOLDEN_CROSS,S8_BUY_ZONE,7760.0,9110.0,6670.0,100.0,1.132,116.6,2.742,TIMEOUT,1.031,-4.510,-1.418
1047,2026-05-19 04:59:31.096420+00:00,RULE,S8_ZONE_RESCUE,002960,한국쉘석유,S8_GOLDEN_CROSS,S8_BUY_ZONE,548000.0,620000.0,494500.0,100.0,1.186,144.9,0.826,NO_TICKS,,,
1049,2026-05-19 05:20:50.862314+00:00,RULE,S8_ZONE_RESCUE,000370,한화손해보험,S8_GOLDEN_CROSS,S8_BUY_ZONE,7650.0,9000.0,6660.0,100.0,1.247,113.4,1.05,TIMEOUT,0.915,-0.915,0.000
1051,2026-05-19 05:21:00.210409+00:00,RULE,BID_GATE_RESCUE,000370,한화손해보험,S15_MOMENTUM_ALIGN,HARD_GATE,7650.0,10800.0,6660.0,86.0,2.973,113.4,0.682,TIMEOUT,0.915,-0.915,0.000
1052,2026-05-20 00:01:21.294946+00:00,RULE,RULE_RESCUE,066980,한성크린텍,S1_GAP_OPEN,RULE_THRESHOLD,1890.0,1975.0,1856.0,25.9,1.52,179.0,11.88,SL_FIRST,13.228,-8.730,-1.799
1058,2026-05-20 01:34:38.616714+00:00,RULE,S8_ZONE_RESCUE,114450,그린생명과학,S8_GOLDEN_CROSS,S8_BUY_ZONE,3110.0,3655.0,2925.0,69.0,2.437,95.2,2.472,TIMEOUT,-1.447,-4.662,-3.537
1074,2026-05-20 04:43:53.691450+00:00,RULE,RULE_RESCUE,143540,영우디에스피,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,1665.0,1856.0,1598.0,50.0,2.147,118.0,1.592,TIMEOUT,0.721,-2.703,-0.601
1077,2026-05-21 00:00:54.707654+00:00,RULE,BID_GATE_RESCUE,027360,아주IB투자,S1_GAP_OPEN,HARD_GATE,16230.0,16740.0,16000.0,61.3,1.162,178.9,0.85,TP1_FIRST,9.550,-2.218,3.142
1085,2026-05-21 01:14:34.221622+00:00,RULE,RULE_RESCUE,008060,대덕,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,20750.0,22700.0,19920.0,45.0,1.83,245.3,0.176,TIMEOUT,4.337,0.964,1.928
1086,2026-05-21 01:24:06.359644+00:00,RULE,RULE_RESCUE,090460,비에이치,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,34950.0,38950.0,33550.0,45.0,2.298,139.2,1.402,TP1_FIRST,15.451,6.438,11.445
1095,2026-05-21 03:45:47.144114+00:00,RULE,RULE_RESCUE,005930,삼성전자,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,293500.0,327500.0,282000.0,53.0,2.298,133.7,0.159,TIMEOUT,2.215,0.511,0.852
1096,2026-05-21 04:32:15.546208+00:00,RULE,S8_ZONE_RESCUE,002420,세기상사,S8_GOLDEN_CROSS,S8_BUY_ZONE,6620.0,7890.0,5490.0,100.0,1.041,116.7,0.266,TP1_FIRST,27.795,-3.927,19.184
1114,2026-05-22 01:24:18.639683+00:00,RULE,RULE_RESCUE,090460,비에이치,S7_ICHIMOKU_BREAKOUT,RULE_THRESHOLD,35650.0,39750.0,34200.0,40.0,2.297,197.6,0.174,TP1_FIRST,13.184,4.348,11.501
1116,2026-05-22 02:36:25.289294+00:00,RULE,S8_ZONE_RESCUE,036420,콘텐트리중앙,S8_GOLDEN_CROSS,S8_BUY_ZONE,6370.0,7570.0,5720.0,100.0,1.672,210.1,0.691,TIMEOUT,0.628,-1.413,0.157
1119,2026-05-22 04:37:19.224590+00:00,RULE,S8_ZONE_RESCUE,036420,콘텐트리중앙,S8_GOLDEN_CROSS,S8_BUY_ZONE,6300.0,7500.0,5720.0,100.0,1.851,187.5,0.528,TIMEOUT,1.429,-0.317,1.270
