usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed,api_key_id,api_key_status
2026-07-20,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.01,0.01,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-20,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.05,0.05,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-21,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.01,0.01,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-21,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.04,0.04,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-22,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.07,0.07,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-22,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.24,0.24,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-23,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.09,0.09,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-23,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.21,0.21,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-24,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.11,0.11,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-24,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.18,0.18,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-27,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.09,0.09,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-27,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.22,0.22,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-28,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.11,0.11,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-28,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.25,0.25,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-29,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.30,0.30,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-29,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.39,0.39,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-30,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.07,0.07,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-30,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.21,0.21,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-31,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.14,0.14,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-31,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.22,0.22,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-07-31,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.01,0.01,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-02,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.01,0.01,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-02,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.04,0.04,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-03,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.54,0.54,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-03,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.60,0.60,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-04,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.42,0.42,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-04,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.44,0.44,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-05,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.40,0.40,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-05,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.45,0.45,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-06,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.34,0.34,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-06,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.42,0.42,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-07,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.13,0.13,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-07,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.09,0.09,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-07,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.12,0.12,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-09,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.01,0.01,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-09,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.04,0.04,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-10,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.25,0.25,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-10,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.37,0.37,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-11,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.28,0.28,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-11,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.36,0.36,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-12,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.44,0.44,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-12,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.44,0.44,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-13,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.10,0.10,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-13,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.22,0.22,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-14,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.12,0.12,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-14,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.22,0.22,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-17,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.07,0.07,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-17,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.08,0.08,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-18,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.00,0.00,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-18,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,input_no_cache,0.01,0.01,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
2026-08-18,Claude Sonnet 4.6,Default,SMA,message,≤ 200k,output,0.05,0.05,token,global,,apikey_01M31kAnhUttVEbMBJcxppj7,active
